id,parametros_clinicos,resposta_correta
1,"{""risco_cardiovascular"":""muito alto""}","Prescrever AAS 100 mg VO 1x/dia."
2,"{""risco_cardiovascular"":""alto""}","Prescrever estatina de alta potência: atorvastatina 40 mg VO 1x/dia ou rosuvastatina 20 mg VO 1x/dia."
3,"{""risco_cardiovascular"":""muito alto""}","Prescrever AAS 100 mg VO 1x/dia e estatina de alta potência."
4,"{""hipertensao"":true}","Prescrever losartana 50 mg VO 1x/dia ou enalapril 10 mg VO 1x/dia."
5,"{""doenca_renal_diabetica"":true,""tfg"":55,""albuminuria"":40}","Prescrever IECA/BRA: losartana, valsartana, enalapril ou lisinopril; e/ou iSGLT2: empagliflozina ou dapagliflozina."
6,"{""prediabetes"":true,""idade"":55,""imc"":36}","Prescrever metformina 500 mg XR VO 1x/dia."
7,"{""prediabetes"":true,""idade"":55,""glicemia_jejum"":112}","Prescrever metformina 500 mg XR VO 1x/dia."
8,"{""prediabetes"":true,""idade"":55,""hba1c"":6.1}","Prescrever metformina 500 mg XR VO 1x/dia."
9,"{""prediabetes"":true,""idade"":55,""cid10_historico"":[""O24.4""]}","Prescrever metformina 500 mg XR VO 1x/dia."
10,"{""prediabetes"":true,""idade"":65,""imc"":36}","Não recomendar metformina por essa regra, pois o critério exige idade < 60 anos."
11,"{""dm2"":true,""risco"":""habitual/intermediario"",""hba1c"":7.2}","Prescrever metformina 500 mg XR VO 1x/dia."
12,"{""dm2"":true,""hba1c"":7.2,""doenca_renal_cronica"":true}","Prescrever metformina e associar uma opção: empagliflozina, dapagliflozina, liraglutida, dulaglutida ou semaglutida."
13,"{""dm2"":true,""hba1c"":7.2,""insuficiencia_cardiaca"":true}","Prescrever metformina e associar empagliflozina ou dapagliflozina."
14,"{""dm2"":true,""hba1c"":8.2,""preferencia"":""menor custo""}","Prescrever metformina e associar gliclazida 30 mg VO 1x/dia ou pioglitazona 30 mg VO 1x/dia."
15,"{""dm2"":true,""hba1c"":8.2,""preferencia"":""menor risco de hipoglicemia""}","Prescrever metformina e associar uma opção de menor risco: vildagliptina, sitagliptina, linagliptina, alogliptina, empagliflozina, dapagliflozina, liraglutida, dulaglutida ou semaglutida."
16,"{""dm2"":true,""hba1c"":8.2,""obesidade"":true}","Prescrever metformina e associar empagliflozina, dapagliflozina, liraglutida, dulaglutida ou semaglutida."
17,"{""dm2"":true,""hba1c"":9.5,""doenca_renal_cronica"":true}","Prescrever metformina e dois medicamentos dentre os grupos indicados; para DRC/DAC/risco alto: empagliflozina ou dapagliflozina e/ou GLP-1: liraglutida, dulaglutida ou semaglutida."
18,"{""dm2"":true,""hba1c"":10.5}","Prescrever metformina e insulinoterapia basal: NPH 10 UI ao deitar ou análogo basal equivalente."
19,"{""dm2"":true,""hba1c"":10.5,""obesidade"":true}","Prescrever metformina, insulina basal e considerar GLP-1: liraglutida, dulaglutida ou semaglutida."
20,"{""em_uso_de_insulina"":true}","Omitir gliclazida e pioglitazona; manter opções como iDPP4, iSGLT2 ou GLP-1 conforme o caso."
21,"{""doenca_renal_cronica"":true,""tfg"":55}","Omitir gliclazida, pioglitazona, vildagliptina, sitagliptina e alogliptina."
22,"{""doenca_renal_cronica"":true,""tfg"":25}","Omitir metformina, empagliflozina, dapagliflozina, liraglutida e dulaglutida."
